Date,Name,League,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,SoTA,Goals Against,Saves,Save Percentage,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Passes Completed (Passes longer than 40 yards),Passes Attempted (Passes longer than 40 yards),Pass Completion Percentage (Passes longer than 40 yards),Passes Attempted,Throws Attempted,Percentage of Passes that were Launched,"Average length of passes, in yards",Goal Kick Passes Attempted,Percentage of Goal Kicks that were Launched,Average length of goal kicks,Opponent's attempted crosses into penalty area,Number of crosses into penalty area successfully stopped,Percentage of crosses into penalty area successfully stopped,Number of defensive actions outside of penalty area,Average distance from goal to perform defensive actions
20/12/20,Koen Casteels,Bundesliga,Matchweek 13,Home,W 1–0,Wolfsburg,Stuttgart,Y*,GK,90,2,0,2,100,1,0.1,0,0,0,0,12,22,54.5,41,12,43.9,38.3,5,80,62.4,7,1,14.3,2,13.9
3/1/21,Koen Casteels,Bundesliga,Matchweek 14,Away,L 0–2,Wolfsburg,Dortmund,Y*,GK,90,7,2,5,71.4,0,1.9,0,0,0,0,6,11,54.5,28,3,32.1,32.8,7,28.6,40,9,1,11.1,2,24.8
9/1/21,Koen Casteels,Bundesliga,Matchweek 15,Away,D 2–2,Wolfsburg,Union Berlin,Y*,GK,90,6,2,4,66.7,0,2,0,0,0,0,5,22,22.7,29,7,41.4,37.7,11,90.9,65.2,14,2,14.3,1,12
16/1/21,Koen Casteels,Bundesliga,Matchweek 16,Home,D 2–2,Wolfsburg,RB Leipzig,Y,GK,90,8,2,6,75,0,2.8,0,0,0,0,8,11,72.7,26,4,26.9,29.3,6,66.7,50,5,0,0,2,24
19/1/21,Koen Casteels,Bundesliga,Matchweek 17,Away,W 2–0,Wolfsburg,Mainz 05,Y*,GK,90,0,0,0,,1,0,0,0,0,0,14,24,58.3,37,4,51.4,40.6,7,71.4,46.3,4,0,0,3,18.6
23/1/21,Koen Casteels,Bundesliga,Matchweek 18,Away,W 1–0,Wolfsburg,Leverkusen,Y*,GK,90,3,0,3,100,1,1.1,0,0,0,0,11,25,44,40,5,50,42.6,7,71.4,53,11,2,18.2,1,12.8
31/1/21,Koen Casteels,Bundesliga,Matchweek 19,Home,W 3–0,Wolfsburg,Freiburg,Y*,GK,90,2,0,2,100,1,0.3,0,0,0,0,12,18,66.7,30,5,36.7,34.2,7,100,62.9,11,0,0,0,12.2
6/2/21,Koen Casteels,Bundesliga,Matchweek 20,Away,W 2–0,Wolfsburg,Augsburg,Y*,GK,90,1,0,1,100,1,0.1,0,0,0,0,5,12,41.7,40,8,30,30.4,5,0,15.8,5,0,0,1,15.3
14/2/21,Koen Casteels,Bundesliga,Matchweek 21,Home,D 0–0,Wolfsburg,M'Gladbach,Y*,GK,90,3,0,3,100,1,0.2,0,0,0,0,9,16,56.3,44,4,31.8,33.3,7,28.6,33.1,5,1,20,1,14.3
19/2/21,Koen Casteels,Bundesliga,Matchweek 22,Away,W 3–0,Wolfsburg,Arminia,Y*,GK,90,2,0,2,100,1,0,0,0,0,0,8,13,61.5,37,4,29.7,32.2,6,33.3,40.2,3,0,0,0,15.3
